,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
100,274.16,274.2,273.35,37447.963080575784,0.9974,0.079,0.034,0.887,0.11222222222222221,0.4255952380952381,0.0
101,276.53,276.53,274.49,13661.6136262024,0.9982,0.071,0.026,0.903,0.13460589330154543,0.38201058201058197,0.0
102,276.02,276.88,276.02,6388.5307314114,0.9996,0.122,0.045,0.833,0.15694805194805195,0.39034291191899895,1.0
103,276.11,276.11,275.53,13148.892406941499,0.9924,0.118,0.073,0.809,0.2111111111111111,0.5634259259259259,0.0
152,278.18,279.54,276.27,57554.699969761496,-0.5621,0.035,0.039,0.927,-0.05841402749297487,0.37616864130022026,0.0
416,312.69,312.81,308.55,65173.720056832004,0.9982,0.065,0.021,0.914,0.15066096803384935,0.41047521217012745,0.0
417,314.38,314.62,312.23,52742.207948696,0.9957,0.062,0.012,0.927,0.12804232804232804,0.37687389770723106,0.0
418,312.41,314.49,310.51,56261.88086867151,0.9996,0.124,0.049,0.827,0.10687725468975469,0.49549442841109514,1.0
419,311.31,312.1,310.8,50984.4389925288,0.9989,0.088,0.018,0.894,0.15377523392987313,0.4109958197587063,1.0
420,312.84,313.01,312.06,41624.126955626,0.9975,0.097,0.066,0.837,0.0858654000320667,0.48922398589065264,1.0
421,313.17,313.21,311.52,25807.063425521403,0.997,0.085,0.055,0.86,0.12483150836092019,0.41248578219166454,0.0
422,314.24,314.24,313.84,3668.815603343,0.9967,0.071,0.039,0.89,0.12412054912054915,0.3932217932217933,0.0
423,313.57,313.57,313.57,0.0,0.9991,0.099,0.059,0.841,0.097871363132991,0.4494897060304035,1.0
424,313.78,313.78,313.57,4415.1444158195,0.9993,0.089,0.036,0.875,0.16279894179894175,0.45745214045214055,0.0
425,314.36,314.36,313.9,824.9291999999998,0.9998,0.115,0.034,0.851,0.13860234551024023,0.42399211412369303,0.0
426,314.48,314.75,314.33,1353.6967833824,0.9984,0.074,0.038,0.888,0.08749508067689887,0.42106454151908707,1.0
427,313.76,314.03,313.76,7437.5070433726005,0.9995,0.097,0.04,0.863,0.13167543859649125,0.48521637426900566,1.0
428,313.95,313.95,312.92,18549.1193597294,0.9975,0.057,0.012,0.93,0.10887868042123361,0.46007798348223866,0.0
429,312.03,313.74,312.03,73967.32357772799,0.9996,0.128,0.044,0.828,0.21400455168973687,0.4752278517093335,1.0
430,311.63,313.07,311.55,84127.988656368,0.9779,0.081,0.064,0.855,0.12141679957469433,0.48206406166932486,1.0
431,313.05,313.05,312.5,25191.3988158642,0.9963,0.095,0.056,0.848,0.19195624195624195,0.42020592020592024,0.0
432,313.36,313.87,312.89,29863.680056091,0.9711,0.07,0.052,0.879,0.24093171979535616,0.45584022038567507,1.0
433,316.03,316.45,312.09,87171.97276749293,0.9993,0.118,0.051,0.831,0.14828514739229026,0.43578042328042327,0.0
434,315.86,317.08,315.86,33345.883030566896,0.9983,0.099,0.052,0.849,0.03306863818912012,0.44322289156626526,1.0
435,315.78,315.84,315.46,25373.361614726407,0.9966,0.091,0.061,0.848,0.12711973632428178,0.4084961629279811,0.0
436,315.93,316.17,315.7,32387.30367026,0.9933,0.054,0.036,0.909,0.09445565347351062,0.3674619923727066,0.0
437,315.38,315.61,315.01,13407.913528516003,0.9822,0.07,0.051,0.879,0.11539614898989903,0.4410905934343435,0.0
438,316.99,316.99,314.84,45987.073973404295,0.9824,0.054,0.029,0.917,0.10639372447883085,0.3471792392005158,0.0
439,318.33,318.33,316.21,64516.7696418468,0.9929,0.071,0.041,0.888,0.16654737854737853,0.484169312169312,0.0
464,318.85,320.37,317.98,49205.1788228403,0.9955,0.076,0.033,0.892,0.23334632034632036,0.4868290043290042,0.0
465,320.79,321.2,317.92,103442.93495092171,0.9995,0.129,0.057,0.813,0.10535775777253052,0.3046401515151516,0.0
466,323.1,323.18,320.04,58674.260305903605,0.9949,0.086,0.052,0.862,0.20001402918069588,0.44862514029180683,0.0
467,323.69,323.87,321.21,48254.324663078994,0.9993,0.094,0.039,0.867,0.14017243260940743,0.4984660530879018,0.0
468,324.5,325.01,322.78,69344.8507800356,0.9451,0.066,0.056,0.878,0.13627594627594627,0.3654932844932845,0.0
469,323.67,324.48,322.55,62537.4236308224,0.9984,0.098,0.043,0.859,0.1451762523191094,0.4025304061018347,1.0
470,323.15,325.22,322.67,74132.155399662,0.9998,0.14,0.044,0.817,0.14442316017316018,0.46895754245754245,1.0
471,321.8,326.69,320.38,75008.8646870284,0.9994,0.097,0.05,0.853,0.14276184808099707,0.43964630227928114,1.0
472,324.08,324.91,321.56,61648.83797897081,0.9989,0.078,0.031,0.89,0.12545484607984606,0.4302128427128427,0.0
473,323.39,325.12,320.76,86580.081686206,0.9983,0.102,0.064,0.835,0.0594238561662804,0.4122266313932979,1.0
474,325.67,326.36,322.11,72257.1665984546,0.9997,0.122,0.018,0.86,0.1905781342840166,0.4949897292250233,0.0
475,326.38,327.99,325.9,126667.64849535188,1.0,0.207,0.02,0.773,0.18816693722943725,0.519310064935065,0.0
476,325.88,326.35,325.7,39068.659982925,0.9995,0.101,0.027,0.871,0.20501493811352967,0.5019754892994329,1.0
477,325.78,326.75,324.83,62655.848502092995,0.9988,0.085,0.023,0.892,0.24375284320199583,0.4786460855528652,0.0
