unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1649671200,2022-04-11 10:00:00,BTC/USD,41434.72,41653.95,41236.23,41616.64,165.65274930,6893910.832628353
1649667600,2022-04-11 09:00:00,BTC/USD,42215.69,42225.73,41413.50,41422.62,143.94024885,5962382.230818987
1649664000,2022-04-11 08:00:00,BTC/USD,42341.83,42369.79,42090.48,42224.42,26.67964723,1126532.6300913566
1649660400,2022-04-11 07:00:00,BTC/USD,42293.33,42364.71,42172.87,42341.50,25.38067543,1074655.868719345
1649656800,2022-04-11 06:00:00,BTC/USD,42276.36,42344.38,42187.04,42250.88,18.92257201,799495.3192858688
1649653200,2022-04-11 05:00:00,BTC/USD,42239.02,42310.99,42202.45,42307.24,14.87636879,629378.1047270396
1649649600,2022-04-11 04:00:00,BTC/USD,42120.32,42288.83,42102.63,42252.88,62.65479206,2647345.4103361326
1649646000,2022-04-11 03:00:00,BTC/USD,41924.86,42164.83,41846.00,42108.99,25.02345879,1053712.575953522
1649642400,2022-04-11 02:00:00,BTC/USD,42189.28,42238.41,41834.29,41922.80,51.86552948,2174348.219284144
1649638800,2022-04-11 01:00:00,BTC/USD,42315.37,42415.57,42151.52,42191.27,54.63321987,2305044.930504535
1649635200,2022-04-11 00:00:00,BTC/USD,42159.45,42395.22,41777.00,42322.95,104.80237963,4435545.872961508
1649631600,2022-04-10 23:00:00,BTC/USD,42096.50,42402.79,42000.00,42133.85,56.24835619,2369959.8024560316
1649628000,2022-04-10 22:00:00,BTC/USD,42715.87,42757.98,41888.88,42157.25,254.65440845,10735529.560628762
1649624400,2022-04-10 21:00:00,BTC/USD,43109.75,43219.77,42675.93,42716.63,79.26088374,3385757.8441945957
1649620800,2022-04-10 20:00:00,BTC/USD,43282.60,43450.72,43115.17,43115.17,47.82054282,2061790.8331765793
1649617200,2022-04-10 19:00:00,BTC/USD,43119.69,43306.06,43070.26,43274.32,41.12485873,1779650.2966368136
1649613600,2022-04-10 18:00:00,BTC/USD,43134.35,43278.49,43092.15,43155.16,18.55957699,800941.5145357684
1649610000,2022-04-10 17:00:00,BTC/USD,42820.69,43305.27,42820.69,43114.26,118.44644496,5106730.824081129
1649606400,2022-04-10 16:00:00,BTC/USD,42782.28,42821.30,42688.15,42811.99,6.08189303,260377.9435814297
