unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1649584800,2022-04-10 10:00:00,ETH/USD,3242.92,3246.72,3236.00,3244.05,141.22988551,458156.8100887155
1649581200,2022-04-10 09:00:00,ETH/USD,3245.05,3245.05,3235.14,3240.66,173.69819193,562896.7826598738
1649577600,2022-04-10 08:00:00,ETH/USD,3243.74,3252.75,3239.83,3244.06,85.81281940,278381.934902764
1649574000,2022-04-10 07:00:00,ETH/USD,3252.88,3253.50,3236.57,3245.51,84.49161098,274218.36835169984
1649570400,2022-04-10 06:00:00,ETH/USD,3247.69,3255.70,3242.20,3252.88,86.41316042,281091.6412670096
1649566800,2022-04-10 05:00:00,ETH/USD,3254.73,3258.72,3244.04,3245.83,43.76360756,142049.2303264748
1649563200,2022-04-10 04:00:00,ETH/USD,3259.42,3264.14,3253.53,3254.83,17.22163065,56053.4800885395
1649559600,2022-04-10 03:00:00,ETH/USD,3259.93,3268.05,3257.08,3259.28,50.15105186,163456.3203062608
1649556000,2022-04-10 02:00:00,ETH/USD,3258.58,3262.21,3253.17,3261.18,52.03585746,169698.2976314028
1649552400,2022-04-10 01:00:00,ETH/USD,3252.51,3266.80,3248.61,3259.00,41.66834188,135797.12618692
1649548800,2022-04-10 00:00:00,ETH/USD,3262.26,3262.26,3247.27,3251.06,107.03168962,347966.44485599716
1649545200,2022-04-09 23:00:00,ETH/USD,3248.11,3269.86,3243.96,3260.27,174.83583550,570012.029405585
1649541600,2022-04-09 22:00:00,ETH/USD,3237.22,3253.30,3237.22,3250.36,50.26319898,163373.49143663282
1649538000,2022-04-09 21:00:00,ETH/USD,3226.12,3250.10,3222.35,3239.48,72.53257036,234967.8110298128
1649534400,2022-04-09 20:00:00,ETH/USD,3236.87,3251.74,3224.04,3224.04,79.54353450,256451.53696938002
1649530800,2022-04-09 19:00:00,ETH/USD,3234.87,3241.92,3230.97,3235.13,77.76559101,251581.7964441813
1649527200,2022-04-09 18:00:00,ETH/USD,3243.70,3247.21,3230.00,3235.67,47.74943912,154501.4276774104
1649523600,2022-04-09 17:00:00,ETH/USD,3218.90,3252.25,3218.44,3243.62,234.54102593,760761.9625270666
1649520000,2022-04-09 16:00:00,ETH/USD,3209.07,3228.27,3204.29,3222.70,89.22012473,287529.695967371
1649516400,2022-04-09 15:00:00,ETH/USD,3228.40,3231.37,3202.39,3209.07,69.82389302,224069.76037369142
1649512800,2022-04-09 14:00:00,ETH/USD,3221.29,3228.75,3210.86,3228.75,138.94013683,448602.9667898625
1649509200,2022-04-09 13:00:00,ETH/USD,3230.74,3232.90,3220.65,3222.80,43.64503694,140659.225050232
1649505600,2022-04-09 12:00:00,ETH/USD,3211.18,3231.23,3204.80,3230.39,149.63388634,483375.8100938726
1649502000,2022-04-09 11:00:00,ETH/USD,3211.93,3217.93,3208.12,3211.18,93.69951681,300886.0143899358
1649498400,2022-04-09 10:00:00,ETH/USD,3209.76,3213.27,3193.15,3213.27,98.72717563,317237.07163661014
1649494800,2022-04-09 09:00:00,ETH/USD,3211.44,3214.11,3200.17,3208.55,36.98936175,118682.2166429625
1649491200,2022-04-09 08:00:00,ETH/USD,3211.00,3217.34,3202.43,3209.61,28.84647971,92585.94974201311
1649487600,2022-04-09 07:00:00,ETH/USD,3204.57,3213.42,3195.60,3210.19,50.26388995,161356.6368785905
1649484000,2022-04-09 06:00:00,ETH/USD,3226.15,3226.15,3199.28,3202.64,247.65596359,793152.8952318776
1649480400,2022-04-09 05:00:00,ETH/USD,3207.28,3228.32,3204.55,3227.07,81.46857590,262904.797229613
1649476800,2022-04-09 04:00:00,ETH/USD,3211.26,3220.20,3204.91,3207.28,66.37718856,212890.22932471678
1649473200,2022-04-09 03:00:00,ETH/USD,3190.19,3218.42,3182.73,3211.57,74.10002992,237977.4330901744
1649469600,2022-04-09 02:00:00,ETH/USD,3219.00,3222.19,3185.80,3190.19,136.69059801,436068.9788655219
1649466000,2022-04-09 01:00:00,ETH/USD,3216.16,3223.70,3203.04,3216.41,121.90612527,392100.0803796807
1649462400,2022-04-09 00:00:00,ETH/USD,3193.49,3218.48,3189.67,3217.50,132.68696611,426920.31345892494
1649458800,2022-04-08 23:00:00,ETH/USD,3191.02,3196.81,3174.88,3193.19,411.16777385,1312936.8237800815
1649455200,2022-04-08 22:00:00,ETH/USD,3223.62,3229.43,3188.45,3191.52,420.39593309,1341702.028375397
1649451600,2022-04-08 21:00:00,ETH/USD,3251.80,3257.46,3215.58,3223.09,49.46380427,159426.2929045943
1649448000,2022-04-08 20:00:00,ETH/USD,3239.02,3252.40,3229.85,3251.80,111.53077722,362675.78136399604
1649444400,2022-04-08 19:00:00,ETH/USD,3256.74,3273.71,3231.96,3240.03,167.00025737,541085.8438865212
1649440800,2022-04-08 18:00:00,ETH/USD,3244.43,3279.13,3215.24,3258.63,475.11614759,1548227.7320212019
1649437200,2022-04-08 17:00:00,ETH/USD,3269.14,3270.13,3229.26,3246.55,227.81093134,739599.579141877
1649433600,2022-04-08 16:00:00,ETH/USD,3283.39,3292.05,3258.60,3268.18,245.04593891,800854.2366268837
