unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1649462400,2022-04-09 00:00:00,BCH/USD,323.55,325.79,321.72,325.79,338.04381261,110131.2937102119
1649458800,2022-04-08 23:00:00,BCH/USD,323.38,323.69,320.99,323.21,136.06347687,43977.07635915269
1649455200,2022-04-08 22:00:00,BCH/USD,326.82,326.82,324.00,324.75,64.03522689,20795.4399325275
1649451600,2022-04-08 21:00:00,BCH/USD,328.88,329.47,326.76,326.76,63.60971146,20785.1093166696
1649448000,2022-04-08 20:00:00,BCH/USD,328.41,329.34,328.41,328.88,38.13726506,12542.583732932799
1649444400,2022-04-08 19:00:00,BCH/USD,329.38,332.24,328.12,328.65,313.13130748,102910.60420330199
1649440800,2022-04-08 18:00:00,BCH/USD,333.04,333.04,326.53,329.98,316.27819807,104365.4797991386
1649437200,2022-04-08 17:00:00,BCH/USD,334.02,334.18,332.16,332.50,217.70397686,72386.57230595
1649433600,2022-04-08 16:00:00,BCH/USD,335.43,336.07,334.34,334.66,221.30600510,74062.267666766
1649430000,2022-04-08 15:00:00,BCH/USD,337.06,338.63,335.41,335.41,289.24448715,97015.4934349815
1649426400,2022-04-08 14:00:00,BCH/USD,328.83,336.63,328.82,336.55,314.75354387,105930.3051894485
1649422800,2022-04-08 13:00:00,BCH/USD,329.42,329.52,327.02,328.48,162.57847038,53403.7759504224
1649419200,2022-04-08 12:00:00,BCH/USD,330.35,330.81,328.64,329.21,69.85509035,22996.9942941235
1649415600,2022-04-08 11:00:00,BCH/USD,332.56,332.56,329.65,330.01,223.03374735,73603.3669629735
1649412000,2022-04-08 10:00:00,BCH/USD,334.12,334.12,332.66,332.90,94.01938906,31299.054618073995
1649408400,2022-04-08 09:00:00,BCH/USD,335.77,335.81,333.86,333.86,230.74200000,77035.52412
1649404800,2022-04-08 08:00:00,BCH/USD,337.36,337.36,335.20,336.59,126.00239193,42411.1450997187
1649401200,2022-04-08 07:00:00,BCH/USD,336.83,338.05,334.71,336.87,127.50115871,42951.3153346377
1649397600,2022-04-08 06:00:00,BCH/USD,336.75,337.81,335.22,336.91,162.19403959,54644.7938782669
1649394000,2022-04-08 05:00:00,BCH/USD,336.46,337.30,336.44,337.02,123.98512000,41785.4651424
1649390400,2022-04-08 04:00:00,BCH/USD,336.91,336.91,336.46,336.67,35.87642506,12078.5160249502
1649386800,2022-04-08 03:00:00,BCH/USD,336.57,337.33,335.55,337.32,33.15032545,11182.267780793998
1649383200,2022-04-08 02:00:00,BCH/USD,336.38,337.73,336.38,336.82,17.99643156,6061.5580780392
1649379600,2022-04-08 01:00:00,BCH/USD,335.35,336.76,335.35,336.07,16.98030406,5706.570785444201
1649376000,2022-04-08 00:00:00,BCH/USD,336.11,337.42,334.95,334.95,217.73320260,72929.73621087
1649372400,2022-04-07 23:00:00,BCH/USD,337.35,339.01,336.07,336.07,223.51176337,75115.59831575591
1649368800,2022-04-07 22:00:00,BCH/USD,335.47,337.07,335.47,337.03,138.88882047,46809.6991630041
1649365200,2022-04-07 21:00:00,BCH/USD,336.17,336.17,334.19,335.56,131.01983922,43965.0172486632
1649361600,2022-04-07 20:00:00,BCH/USD,335.56,336.15,334.56,335.79,99.86036982,33532.113581857804
1649358000,2022-04-07 19:00:00,BCH/USD,337.19,337.47,335.44,335.56,108.56296791,36429.3895118796
1649354400,2022-04-07 18:00:00,BCH/USD,336.18,337.81,335.65,336.73,197.70785615,66574.1664013895
1649350800,2022-04-07 17:00:00,BCH/USD,335.62,336.99,334.57,336.54,60.00346056,20193.5646168624
1649347200,2022-04-07 16:00:00,BCH/USD,333.49,336.23,333.39,335.38,226.06599539,75818.0135338982
1649343600,2022-04-07 15:00:00,BCH/USD,331.65,334.10,329.99,333.91,235.71919732,78708.99717712121
1649340000,2022-04-07 14:00:00,BCH/USD,336.93,336.94,330.97,331.36,129.43137615,42888.380801064006
1649336400,2022-04-07 13:00:00,BCH/USD,334.92,336.13,333.09,336.04,38.37508010,12895.561916804
1649332800,2022-04-07 12:00:00,BCH/USD,338.42,339.34,335.98,336.28,105.95881143,35631.829107680394
1649329200,2022-04-07 11:00:00,BCH/USD,336.50,339.78,336.50,338.58,42.69645674,14456.1663230292
1649325600,2022-04-07 10:00:00,BCH/USD,335.09,336.99,334.73,336.65,181.86390838,61224.48475612699
1649322000,2022-04-07 09:00:00,BCH/USD,335.76,335.86,333.16,335.03,259.13200556,86816.99582276678
1649318400,2022-04-07 08:00:00,BCH/USD,335.32,335.96,334.85,335.84,55.12759702,18514.0521831968
1649314800,2022-04-07 07:00:00,BCH/USD,334.37,336.80,334.30,334.86,260.50401619,87232.3748613834
1649311200,2022-04-07 06:00:00,BCH/USD,334.13,334.97,332.35,334.01,129.11009415,43124.0625470415
1649307600,2022-04-07 05:00:00,BCH/USD,334.90,334.90,331.84,333.48,109.33786157,36461.9900763636
1649304000,2022-04-07 04:00:00,BCH/USD,333.75,335.57,332.42,334.86,105.87117491,35452.0216303626
1649300400,2022-04-07 03:00:00,BCH/USD,333.61,334.37,331.63,333.48,73.67881495,24570.411209526002
1649296800,2022-04-07 02:00:00,BCH/USD,332.04,333.75,329.56,333.46,148.82027667,49625.609458378196
1649293200,2022-04-07 01:00:00,BCH/USD,328.55,332.16,328.04,332.16,141.59299015,47031.527608224
1649289600,2022-04-07 00:00:00,BCH/USD,330.87,335.30,326.13,327.38,144.90606141,47439.3463844058
1649286000,2022-04-06 23:00:00,BCH/USD,334.56,335.58,329.58,330.01,199.19266738,65735.57216207379
1649282400,2022-04-06 22:00:00,BCH/USD,338.84,339.58,334.29,334.29,83.93019100,28057.02354939
1649278800,2022-04-06 21:00:00,BCH/USD,339.54,340.92,339.11,340.17,151.02820071,51375.2630355207
1649275200,2022-04-06 20:00:00,BCH/USD,340.04,340.99,337.58,339.78,389.03327534,132185.72629502518
1649271600,2022-04-06 19:00:00,BCH/USD,343.91,343.96,339.85,339.85,393.74060649,133812.74511562652
1649268000,2022-04-06 18:00:00,BCH/USD,345.65,348.32,340.24,342.62,462.75928770,158550.587151774
1649264400,2022-04-06 17:00:00,BCH/USD,341.84,346.96,339.82,346.14,237.87705463,82338.76368962819
1649260800,2022-04-06 16:00:00,BCH/USD,343.58,344.85,340.64,344.07,310.05615944,106681.0227785208
1649257200,2022-04-06 15:00:00,BCH/USD,343.64,344.99,339.92,343.38,444.29969432,152563.6290356016
1649253600,2022-04-06 14:00:00,BCH/USD,345.16,346.61,341.64,345.51,148.02687389,51144.7651977339
1649250000,2022-04-06 13:00:00,BCH/USD,352.75,352.75,344.62,345.39,110.94833907,38320.4468313873
1649246400,2022-04-06 12:00:00,BCH/USD,350.84,354.16,350.55,350.76,180.85524290,63436.784999604
1649242800,2022-04-06 11:00:00,BCH/USD,355.36,355.36,351.64,351.84,232.28014568,81725.4464560512
1649239200,2022-04-06 10:00:00,BCH/USD,359.86,360.77,355.72,355.72,102.33926111,36404.121962049205
1649235600,2022-04-06 09:00:00,BCH/USD,359.42,359.50,357.60,358.22,201.07938477,72030.65721230941
1649232000,2022-04-06 08:00:00,BCH/USD,357.15,360.08,356.27,360.08,83.06729453,29910.8714143624
1649228400,2022-04-06 07:00:00,BCH/USD,359.10,359.94,357.18,357.53,295.19229707,105540.10197143709
1649224800,2022-04-06 06:00:00,BCH/USD,359.16,359.17,357.65,358.63,94.27371589,33809.3827296307
1649221200,2022-04-06 05:00:00,BCH/USD,358.39,360.01,358.36,359.47,82.96032951,29821.7496489597
1649217600,2022-04-06 04:00:00,BCH/USD,356.23,358.89,355.00,358.49,131.95654494,47305.1017955406
1649214000,2022-04-06 03:00:00,BCH/USD,356.70,356.88,355.54,356.32,89.64285582,31941.5423857824
1649210400,2022-04-06 02:00:00,BCH/USD,357.79,358.49,356.55,356.78,123.94463796,44220.967931368796
1649206800,2022-04-06 01:00:00,BCH/USD,357.00,359.62,356.99,357.86,82.07961005,29373.009252493
1649203200,2022-04-06 00:00:00,BCH/USD,365.00,367.76,347.79,358.39,446.92678571,160174.0907306069
1649199600,2022-04-05 23:00:00,BCH/USD,368.97,369.20,365.73,365.84,91.58846398,33506.7236624432
1649196000,2022-04-05 22:00:00,BCH/USD,368.52,370.00,368.22,368.62,52.33575863,19292.0073461906
