https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1649494800,2022-04-09 09:00:00,ADA/USD,1.03750,1.03750,1.03750,1.03750,0.00000000,0.0
1649491200,2022-04-09 08:00:00,ADA/USD,1.04148,1.04148,1.03750,1.03750,4529.02842471,4698.866990636625
1649487600,2022-04-09 07:00:00,ADA/USD,1.03265,1.03265,1.03265,1.03265,557.43313155,575.6333232951075
1649484000,2022-04-09 06:00:00,ADA/USD,1.03618,1.03618,1.03618,1.03618,77.67025999,80.48036999643821
1649480400,2022-04-09 05:00:00,ADA/USD,1.02538,1.03534,1.02538,1.03534,524.02652268,542.5456199915111
1649476800,2022-04-09 04:00:00,ADA/USD,1.03000,1.03138,1.03000,1.03138,5700.59723779,5879.48197911185
1649473200,2022-04-09 03:00:00,ADA/USD,1.02928,1.03173,1.02928,1.03173,1500.37164955,1547.9784419902217
1649469600,2022-04-09 02:00:00,ADA/USD,1.03371,1.03371,1.03293,1.03293,6138.55277999,6340.69532303507
1649466000,2022-04-09 01:00:00,ADA/USD,1.03899,1.03899,1.03237,1.03450,4343.12303152,4492.96077610744
1649462400,2022-04-09 00:00:00,ADA/USD,1.02787,1.03131,1.02636,1.03131,63571.68211827,65562.11148539303
1649458800,2022-04-08 23:00:00,ADA/USD,1.03000,1.03000,1.02000,1.02305,104913.19105011,107331.44010381504
1649455200,2022-04-08 22:00:00,ADA/USD,1.02938,1.03047,1.02800,1.03047,2216.23032368,2283.7588616425296
1649451600,2022-04-08 21:00:00,ADA/USD,1.04177,1.04177,1.03934,1.03934,143.32466777,148.9630602000718
1649448000,2022-04-08 20:00:00,ADA/USD,1.05208,1.05208,1.04464,1.05006,101441.78728394,106519.96315537403
1649444400,2022-04-08 19:00:00,ADA/USD,1.05526,1.05526,1.04697,1.04697,3005.74826339,3146.928259321428
1649440800,2022-04-08 18:00:00,ADA/USD,1.05372,1.06126,1.04973,1.06126,7630.82362219,8098.28787728536
1649437200,2022-04-08 17:00:00,ADA/USD,1.06013,1.06126,1.05990,1.06126,203000.00000000,215435.78000000003
1649433600,2022-04-08 16:00:00,ADA/USD,1.06874,1.06900,1.06874,1.06900,102.36632360,109.4295999284
1649430000,2022-04-08 15:00:00,ADA/USD,1.08691,1.08691,1.08691,1.08691,31.57445300,34.31858871023
1649426400,2022-04-08 14:00:00,ADA/USD,1.06869,1.08046,1.06865,1.08046,1045.47433834,1129.5932036028364
1649422800,2022-04-08 13:00:00,ADA/USD,1.06000,1.06000,1.05500,1.05923,11877.90374654,12581.431985447563
1649419200,2022-04-08 12:00:00,ADA/USD,1.07263,1.07263,1.06834,1.06834,3418.06258405,3651.6529810439774
1649415600,2022-04-08 11:00:00,ADA/USD,1.08381,1.08381,1.07000,1.07000,6713.98070640,7183.959355848
1649412000,2022-04-08 10:00:00,ADA/USD,1.08638,1.08638,1.08621,1.08621,1554.42500958,1688.4319896558916
1649408400,2022-04-08 09:00:00,ADA/USD,1.09181,1.09300,1.09181,1.09300,167.94981300,183.569145609
