unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1649757600,2022-04-12 10:00:00,AAVE/USD,169.12,170.73,167.42,169.78,139.19908943,23633.2214034254
1649754000,2022-04-12 09:00:00,AAVE/USD,167.44,168.90,167.44,168.90,37.22362846,6287.070846894
1649750400,2022-04-12 08:00:00,AAVE/USD,169.63,169.80,167.71,167.71,106.24201353,17817.848089116298
1649746800,2022-04-12 07:00:00,AAVE/USD,165.90,169.50,165.90,169.50,9.41924521,1596.562063095
1649743200,2022-04-12 06:00:00,AAVE/USD,166.34,167.50,165.23,165.64,42.37095633,7018.325206501199
1649739600,2022-04-12 05:00:00,AAVE/USD,161.53,165.58,161.53,165.58,16.62656578,2753.0267618524003
1649736000,2022-04-12 04:00:00,AAVE/USD,159.39,162.02,158.85,161.53,30.22237971,4881.820994556299
1649732400,2022-04-12 03:00:00,AAVE/USD,157.91,158.67,157.91,158.67,8.45714196,1341.8947147932
1649728800,2022-04-12 02:00:00,AAVE/USD,158.64,158.64,157.14,157.67,17.25818009,2721.0972547902998
1649725200,2022-04-12 01:00:00,AAVE/USD,159.23,159.28,159.17,159.28,9.85147671,1569.1432103688
1649721600,2022-04-12 00:00:00,AAVE/USD,157.76,159.28,157.76,159.14,73.35166606,11673.184136788399
1649718000,2022-04-11 23:00:00,AAVE/USD,160.55,160.55,157.50,157.68,112.10508898,17676.730430366402
1649714400,2022-04-11 22:00:00,AAVE/USD,156.71,160.42,155.77,159.11,24.78705719,3943.8686695009
1649710800,2022-04-11 21:00:00,AAVE/USD,160.70,160.84,157.81,157.83,310.39412653,48989.5049902299
1649707200,2022-04-11 20:00:00,AAVE/USD,162.31,162.34,160.04,162.34,272.04919084,44164.4656409656
1649703600,2022-04-11 19:00:00,AAVE/USD,161.18,161.60,159.96,161.60,32.11119954,5189.169845664
1649700000,2022-04-11 18:00:00,AAVE/USD,162.82,163.18,162.82,163.18,7.85174373,1281.2475418614001
1649696400,2022-04-11 17:00:00,AAVE/USD,161.16,162.86,161.09,162.75,105.13080619,17110.0387074225
1649692800,2022-04-11 16:00:00,AAVE/USD,162.15,162.52,160.16,162.52,260.31045196,42305.654652539204
1649689200,2022-04-11 15:00:00,AAVE/USD,162.39,162.50,161.74,161.82,18.77078126,3037.4878234932
1649685600,2022-04-11 14:00:00,AAVE/USD,161.64,162.59,161.61,161.61,49.76241862,8042.1044731782
1649682000,2022-04-11 13:00:00,AAVE/USD,163.44,163.44,160.97,163.30,219.18725018,35793.277954394005
1649678400,2022-04-11 12:00:00,AAVE/USD,162.69,164.40,162.69,163.44,57.03259597,9321.4074853368
1649674800,2022-04-11 11:00:00,AAVE/USD,164.78,164.78,161.96,163.61,154.93724936,25349.283367789605
